连杆名,质量 (kg),"质心偏移 (相对于关节, m)"
LINK\_BASE,4.086,"(0.015, -0.000, -0.023)"
LINK\_HIP\_PITCH\_L,1.686,"(0.010, 0.045, -0.012)"
LINK\_HIP\_ROLL\_L,0.633,"(-0.019, 0.002, -0.046)"
LINK\_HIP\_YAW\_L,1.858,"(-0.004, 0.001, -0.093)"
LINK\_KNEE\_PITCH\_L,4.295,"(-0.010, 0.002, -0.119)"
LINK\_ANKLE\_PITCH\_L,0.115,"(0.001, 0.000, -0.007)"
LINK\_ANKLE\_ROLL\_L,0.718,"(0.015, 0.000, -0.022)"
LINK\_FOOT\_L,0.001,"(0, 0, 0)"
LINK\_HIP\_PITCH\_R,1.680,"(0.010, -0.045, -0.012)"
LINK\_HIP\_ROLL\_R,0.637,"(-0.018, -0.002, -0.046)"
LINK\_HIP\_YAW\_R,1.831,"(-0.004, -0.003, -0.096)"
LINK\_KNEE\_PITCH\_R,4.292,"(-0.010, -0.002, -0.119)"
LINK\_ANKLE\_PITCH\_R,0.115,"(0.001, 0.000, -0.007)"
LINK\_ANKLE\_ROLL\_R,0.716,"(0.015, 0.000, -0.022)"
LINK\_FOOT\_R,0.001,"(0, 0, 0)"
LINK\_TORSO\_YAW,9.014,"(-0.011, -0.003, 0.163)"
LINK\_SHOULDER\_PITCH\_L,0.932,"(-0.007, 0.056, -0.016)"
LINK\_SHOULDER\_ROLL\_L,0.511,"(0.037, 0.007, -0.027)"
LINK\_SHOULDER\_YAW\_L,0.909,"(-0.001, 0.002, -0.046)"
LINK\_ELBOW\_PITCH\_L,1.381,"(0.003, 0.002, -0.065)"
LINK\_ELBOW\_YAW\_L,0.468,"(0.020, 0.000, -0.090)"
LINK\_ELBOW\_END\_L,0.001,"(0, 0, 0)"
LINK\_SHOULDER\_PITCH\_R,0.929,"(-0.007, -0.056, -0.016)"
LINK\_SHOULDER\_ROLL\_R,0.510,"(0.037, -0.007, -0.027)"
LINK\_SHOULDER\_YAW\_R,0.909,"(-0.001, -0.002, -0.046)"
LINK\_ELBOW\_PITCH\_R,1.382,"(0.003, -0.002, -0.065)"
LINK\_ELBOW\_YAW\_R,0.467,"(0.020, -0.000, -0.090)"
LINK\_ELBOW\_END\_R,0.001,"(0, 0, 0)"
LINK\_HEAD\_YAW,0.845,"(0.004, 0.000, 0.088)"
