连杆名,Ixx (kg·m²),Iyy (kg·m²),Izz (kg·m²)
LINK\_BASE,0.02022,0.01531,0.01216
LINK\_HIP\_PITCH\_L,0.00232,0.00220,0.00200
LINK\_HIP\_ROLL\_L,0.00162,0.00145,0.00097
LINK\_HIP\_YAW\_L,0.01651,0.01624,0.00333
LINK\_KNEE\_PITCH\_L,0.05483,0.05382,0.00490
LINK\_ANKLE\_PITCH\_L,1.511e-5,1.422e-5,1.177e-5
LINK\_ANKLE\_ROLL\_L,0.00293,0.00277,0.00057
LINK\_HIP\_PITCH\_R,0.00232,0.00219,0.00199
LINK\_HIP\_ROLL\_R,0.00163,0.00146,0.00097
LINK\_HIP\_YAW\_R,0.01625,0.01599,0.00327
LINK\_KNEE\_PITCH\_R,0.05449,0.05346,0.00492
LINK\_ANKLE\_PITCH\_R,1.511e-5,1.422e-5,1.177e-5
LINK\_ANKLE\_ROLL\_R,0.00292,0.00276,0.00057
LINK\_TORSO\_YAW,0.08584,0.06567,0.05671
LINK\_SHOULDER\_PITCH\_L,0.00125,0.00108,0.00062
LINK\_SHOULDER\_ROLL\_L,0.00133,0.00099,0.00090
LINK\_SHOULDER\_YAW\_L,0.00162,0.00151,0.00079
LINK\_ELBOW\_PITCH\_L,0.00601,0.00587,0.00078
LINK\_ELBOW\_YAW\_L,0.00175,0.00173,0.00032
LINK\_SHOULDER\_PITCH\_R,0.00125,0.00108,0.00062
LINK\_SHOULDER\_ROLL\_R,0.00133,0.00099,0.00090
LINK\_SHOULDER\_YAW\_R,0.00162,0.00151,0.00079
LINK\_ELBOW\_PITCH\_R,0.00601,0.00587,0.00078
LINK\_ELBOW\_YAW\_R,0.00174,0.00173,0.00032
LINK\_HEAD\_YAW,0.00501,0.00446,0.00296
